Feature,Coefficient
cat__Model_MKX,59.33093767901036
cat__Model_MKZ,-2830.890902378668
cat__Model_Malibu,-1883.2240441927945
cat__Model_Malibu LT,-696.3275447558188
cat__Model_Maverick,-1044.1187532805468
cat__Model_Mirage,-631.8948250340936
cat__Model_Model X,-1316.5497401475716
cat__Model_Murano,-242.34071240958068
cat__Model_Mustang,-946.9599655560454
cat__Model_Mustang Mach-E,269.5165642900075
cat__Model_NV Cargo,711.3065749696467
cat__Model_Nautilus,3045.2543555785805
cat__Model_Navigator,-1233.2335664704924
cat__Model_Odyssey,-371.4556954683375
cat__Model_Odyssey Elite,1422.6964677794972
cat__Model_Odyssey Touring,-2048.476982491642
cat__Model_Optima,-1425.3297037978473
cat__Model_Outlander,-308.53107141294294
cat__Model_Outlander Sport,1359.7814118160281
cat__Model_Pacifica,730.6654504043784
cat__Model_Palisade,-1157.5732440716572
cat__Model_Passat,1071.9499591718552
cat__Model_Pathfinder,-418.9019999618687
cat__Model_Pilot,655.7253802169447
cat__Model_Q3,-669.0279457999724
cat__Model_Q5,-3426.277206225172
cat__Model_Q60,353.8840685635079
cat__Model_Q7,-5102.554996655647
cat__Model_Q8,6302.162266322054
cat__Model_QX50,-2533.1800535387006
cat__Model_RAM 1500 4WD,1258.2853267612718
cat__Model_RAM 2500,1304.2446870521671
cat__Model_RAM 2500 ST,1357.744234212426
cat__Model_RAM 5500,-508.0623889466855
cat__Model_RAV4,207.80231848567274
cat__Model_RDX,-2281.1256946552667
cat__Model_RX,77.80258055570934
cat__Model_Ram 1500,571.2275731144435
cat__Model_Ram 1500 Big Horn,944.604364653354
cat__Model_Ram 2500,7186.095379953737
cat__Model_Ram 2500 Big Horn,-1142.2283092792889
cat__Model_Ram 3500,1242.7878797746778
cat__Model_Ram 5500,-221.3504321416787
cat__Model_Ram ProMaster,-105.2285707214054
cat__Model_Ram ProMaster 2500,-1698.8859895411108
cat__Model_Ram ProMaster City,-2549.7400169943426
cat__Model_Ram Tradesman,2016.6340887160795
cat__Model_Range Rover,-1121.5958071628784
cat__Model_Range Rover Evoque,-1394.1101058402412
cat__Model_Range Rover RGREVQ,1394.9908187599733
cat__Model_Range Rover Sport,-697.4590344108977
cat__Model_Range Rover Velar,4816.3995384485015
cat__Model_Ranger,-4589.443205640538
cat__Model_Renegade,-1733.3690500893094
cat__Model_Rio,997.6092896602831
cat__Model_Rogue,-776.5919560625209
cat__Model_Rogue AWD,-675.7740210356546
cat__Model_SQ5,2625.558866619119
cat__Model_SQ5.3.0TQ,-189.46454881288918
cat__Model_Santa Cruz,-98.74907296985435
cat__Model_Santa Fe,-804.0055136060536
cat__Model_Santa Fe AWD,495.2721972270948
cat__Model_Santa Fe Sport,710.3241674329747
cat__Model_Seltos,-1225.064937593605
cat__Model_Sentra,76.77078094004641
cat__Model_Sierra,-1463.545590014286
cat__Model_Sierra 1500,-1398.495166051277
cat__Model_Sierra 1500 2WD,2225.159096701796
cat__Model_Sierra 1500 LTD,-588.3621315118112
cat__Model_Sierra 1500 Limited,12409.992907419002
cat__Model_Sierra 250,-1780.4141521217045
cat__Model_Sierra 2500,-482.08719769502306
cat__Model_Sierra 2500HD,-82.85078506157548
cat__Model_Sierra 3500,-2938.3157062923233
cat__Model_Sierra 3500HD,-2261.9096733349174
cat__Model_Sierra 4WD,-1557.8350985558695
cat__Model_Sierra Denali,7867.676058785429
cat__Model_Sierra Denali 1500,17173.246217892145
cat__Model_Sierra K1500 SL,-2671.030796629425
cat__Model_Sierra K3500,-280.4306260275854
cat__Model_Sierra L,1404.4965368221137
cat__Model_Sierra Limited,1410.1137160591575
cat__Model_Sierra Pick-up,-4465.3303323705495
cat__Model_Silverado,-31.747547188902836
cat__Model_Silverado 1500,-103.32046429273798
cat__Model_Silverado 1500 4WD,9014.56004821331
cat__Model_Silverado 1500 LTD,2792.3865104642714
cat__Model_Silverado 2500,-253.35143826984415
cat__Model_Silverado 2500HD,-528.407686918959
cat__Model_Silverado 3500,-959.6643791178503
cat__Model_Silverado 3500HD,-2142.0903852666124
cat__Model_Silverado K1500,1081.071436471912
cat__Model_Sonata,-616.0264515145053
cat__Model_Sonic,2308.15715743189
cat__Model_Sorento,109.81292712671357
cat__Model_Sorento EX V6,-162.5661835479565
cat__Model_Sorento Hybrid,3027.9616846325343
cat__Model_Soul,-1065.0599041477658
cat__Model_Soul LX,-156.94900431195717
cat__Model_Sportage,-240.94556115518847
cat__Model_Stelvio,-747.3903179919803
cat__Model_Stinger,-1511.4406212467993
cat__Model_Suburban,974.8495206672067
cat__Model_Super Duty,406.11037829782333
cat__Model_TLX,-1638.6033109148525
cat__Model_TR XT5,-6145.4210327960545
cat__Model_Tacoma 2WD,-35.20784679101082
cat__Model_Tahoe,-795.6976035776075
cat__Model_Taos,-966.3381482917562
cat__Model_Telluride,430.9246463128485
cat__Model_Terrain,-2298.3817091537167
cat__Model_Terrain SLT,-2589.842353527396
cat__Model_Tiguan,-152.46338239995643
cat__Model_Titan,-236.8201196305433
cat__Model_Titan XD,711.3065749696467
cat__Model_Titan XD 4WD,-1521.6550890641074
cat__Model_Trailblazer,-418.3528496944152
cat__Model_Transit,342.5884271257045
cat__Model_Transit Cargo Van,128.14007797479186
cat__Model_Transit Connect,-815.92252047694
cat__Model_Traverse,-427.2324840783505
cat__Model_Trax,-2512.950369776482
cat__Model_Truck,487.8624520044201
cat__Model_Truck 150,-2147.834505910808
cat__Model_Truck Explorer,3776.499876183369
cat__Model_Truck Ranger,-2552.404077317717
cat__Model_Tucson,-710.0196966258985
cat__Model_Tucson Hybrid,-243.13024634343907
cat__Model_Tundra 4WD,26.75500457712676
cat__Model_Tundra 4WD LTD,48.962173642438756
cat__Model_Velar,643.6291458775489
cat__Model_Veloster,-289.664849963721
cat__Model_Versa,-1411.4407270157444
cat__Model_Versa Sedan,-527.2832509038143
cat__Model_Voyager,-402.1512192716872
cat__Model_WRX,1271.7594336263173
cat__Model_Wagoneer,4478.816550207837
cat__Model_Wrangler,-1172.872768790582
cat__Model_Wrangler Unlimited,-2857.1629037322464
cat__Model_X5,129.14412037048464
cat__Model_X5 M,-3087.0835966158156
cat__Model_X7,-278.3785699495119
cat__Model_XT4,-3160.261232412446
cat__Model_XT5,-1436.4979488294182
cat__Model_XTS,-2558.604832768811
cat__Model_Yukon,955.1770811568289
cat__Model_Yukon Denali,-190.41674650318524
cat__Model_Yukon XL,-1056.6822199059072
cat__Model_iX xDrive50,5872.093881329642
remainder__Year,407.50633401404565
remainder__Transmission,341.1229895194288
remainder__Engine,335.0747697882433
remainder__Electrical,143.38369110921863
remainder__Brakes,751.8793277196178
remainder__Structural,0.0
remainder__HVAC,-1084.8531348356223
